cell_id	coords
1	[[5505, 34], [5501, 39], [5500, 39], [5496, 42], [5492, 41], [5489, 40], [5489, 32], [5493, 29], [5497, 29], [5498, 30], [5499, 29], [5503, 29], [5504, 31], [5505, 34]]
2	[[7536, 35], [7535, 36], [7525, 36], [7522, 35], [7522, 32], [7535, 31], [7536, 33], [7536, 35]]
3	[[5503, 45], [5500, 45], [5499, 46], [5497, 46], [5496, 45], [5489, 45], [5491, 44], [5490, 43], [5492, 41], [5494, 41], [5496, 44], [5498, 44], [5499, 45], [5500, 44], [5503, 45]]
4	[[6606, 81], [6599, 85], [6596, 85], [6595, 86], [6592, 86], [6591, 87], [6587, 87], [6586, 88], [6583, 88], [6582, 87], [6576, 86], [6574, 84], [6573, 84], [6569, 79], [6568, 79], [6562, 75], [6562, 74], [6558, 70], [6556, 66], [6553, 63], [6553, 62], [6550, 58], [6551, 51], [6556, 46], [6562, 43], [6573, 43], [6574, 42], [6578, 42], [6580, 43], [6581, 42], [6583, 42], [6584, 43], [6591, 44], [6593, 46], [6596, 47], [6599, 50], [6600, 50], [6601, 52], [6601, 53], [6603, 53], [6603, 55], [6608, 60], [6609, 62], [6609, 64], [6611, 68], [6608, 70], [6610, 71], [6610, 75], [6608, 79], [6606, 81]]
5	[[5503, 49], [5492, 49], [5489, 48], [5489, 46], [5496, 45], [5500, 47], [5503, 47], [5503, 49]]
6	[[5501, 50], [5499, 51], [5490, 51], [5489, 49], [5490, 48], [5491, 49], [5501, 50]]
7	[[5503, 63], [5502, 64], [5501, 64], [5499, 62], [5498, 63], [5497, 62], [5495, 63], [5494, 62], [5491, 62], [5490, 58], [5489, 57], [5490, 56], [5489, 55], [5490, 53], [5489, 52], [5500, 51], [5500, 52], [5499, 53], [5500, 54], [5499, 56], [5497, 57], [5505, 57], [5505, 58], [5504, 59], [5503, 63]]
8	[[5741, 76], [5739, 76], [5738, 75], [5734, 74], [5731, 71], [5731, 66], [5733, 65], [5731, 64], [5732, 63], [5731, 61], [5737, 53], [5739, 52], [5744, 52], [5750, 58], [5751, 61], [5750, 63], [5748, 64], [5750, 64], [5751, 67], [5749, 71], [5746, 74], [5742, 75], [5741, 76]]
9	[[6438, 74], [6437, 75], [6435, 75], [6434, 76], [6430, 76], [6429, 75], [6426, 75], [6425, 74], [6420, 74], [6417, 72], [6415, 72], [6410, 68], [6409, 66], [6409, 63], [6411, 62], [6410, 60], [6413, 57], [6417, 55], [6422, 55], [6425, 58], [6429, 59], [6432, 63], [6432, 65], [6434, 66], [6435, 65], [6436, 67], [6438, 66], [6439, 68], [6438, 69], [6439, 70], [6438, 74]]
10	[[5503, 64], [5506, 57], [5515, 57], [5516, 56], [5518, 56], [5520, 58], [5520, 62], [5517, 64], [5503, 64]]
11	[[5708, 61], [5704, 64], [5694, 64], [5691, 63], [5691, 59], [5692, 58], [5691, 57], [5706, 56], [5708, 58], [5708, 61]]
12	[[6276, 100], [6268, 94], [6268, 93], [6265, 90], [6263, 86], [6263, 81], [6264, 80], [6264, 78], [6265, 76], [6271, 70], [6278, 66], [6281, 66], [6284, 64], [6287, 64], [6290, 62], [6293, 62], [6294, 61], [6303, 61], [6304, 62], [6307, 62], [6309, 63], [6314, 68], [6317, 69], [6318, 71], [6318, 73], [6320, 75], [6320, 77], [6319, 78], [6320, 79], [6319, 80], [6318, 85], [6316, 87], [6316, 88], [6310, 94], [6309, 94], [6307, 96], [6299, 98], [6297, 100], [6295, 100], [6291, 102], [6282, 102], [6281, 101], [6276, 100]]
13	[[6322, 77], [6321, 74], [6319, 72], [6319, 70], [6322, 66], [6326, 66], [6328, 69], [6328, 71], [6326, 75], [6326, 75], [6325, 74], [6324, 73], [6323, 74], [6324, 75], [6324, 75], [6323, 74], [6322, 77]]
14	[[3687, 123], [3684, 123], [3683, 124], [3681, 124], [3680, 123], [3679, 124], [3669, 124], [3668, 123], [3660, 123], [3661, 122], [3660, 121], [3660, 114], [3659, 113], [3659, 104], [3660, 103], [3660, 101], [3659, 100], [3659, 93], [3660, 92], [3660, 88], [3664, 85], [3666, 85], [3667, 86], [3676, 86], [3680, 88], [3681, 87], [3683, 87], [3689, 94], [3690, 96], [3690, 100], [3688, 104], [3684, 107], [3685, 108], [3687, 109], [3688, 113], [3689, 114], [3689, 120], [3687, 123]]
15	[[5494, 113], [5492, 112], [5484, 112], [5483, 113], [5481, 113], [5482, 112], [5481, 111], [5481, 104], [5482, 103], [5482, 93], [5481, 92], [5482, 87], [5490, 86], [5491, 87], [5494, 87], [5496, 89], [5496, 92], [5495, 93], [5495, 97], [5496, 98], [5495, 99], [5495, 110], [5494, 111], [5494, 113]]
16	[[5463, 88], [5462, 89], [5462, 91], [5460, 92], [5454, 91], [5455, 87], [5457, 87], [5458, 90], [5459, 87], [5463, 88]]
17	[[7399, 136], [7394, 131], [7394, 130], [7396, 129], [7396, 128], [7394, 127], [7393, 124], [7389, 119], [7392, 118], [7391, 117], [7390, 116], [7393, 113], [7400, 112], [7401, 110], [7403, 110], [7407, 108], [7408, 106], [7410, 107], [7410, 105], [7412, 106], [7413, 105], [7418, 106], [7419, 108], [7420, 118], [7417, 121], [7417, 123], [7413, 126], [7414, 129], [7411, 130], [7409, 133], [7408, 132], [7405, 136], [7399, 136]]
18	[[6492, 122], [6488, 121], [6484, 118], [6484, 116], [6483, 115], [6484, 114], [6484, 111], [6489, 107], [6493, 107], [6496, 113], [6496, 115], [6495, 116], [6495, 118], [6496, 119], [6492, 122]]
19	[[5492, 137], [5489, 137], [5488, 136], [5483, 136], [5484, 127], [5482, 126], [5482, 119], [5481, 117], [5482, 116], [5482, 114], [5484, 112], [5492, 112], [5494, 114], [5494, 129], [5493, 130], [5493, 136], [5492, 137]]
20	[[3876, 146], [3857, 146], [3856, 145], [3854, 146], [3848, 146], [3846, 144], [3843, 144], [3839, 139], [3838, 133], [3843, 126], [3843, 122], [3846, 119], [3847, 120], [3848, 119], [3849, 120], [3853, 118], [3860, 118], [3861, 117], [3867, 117], [3868, 118], [3874, 118], [3876, 119], [3879, 123], [3879, 126], [3880, 127], [3880, 138], [3879, 139], [3879, 143], [3876, 146]]
21	[[3709, 128], [3707, 129], [3705, 129], [3704, 128], [3697, 128], [3696, 127], [3694, 127], [3692, 126], [3692, 124], [3697, 118], [3701, 118], [3702, 119], [3704, 119], [3705, 118], [3710, 118], [3710, 124], [3709, 125], [3709, 128]]
22	[[3715, 128], [3709, 128], [3711, 118], [3714, 118], [3715, 119], [3716, 118], [3718, 118], [3719, 121], [3718, 125], [3717, 125], [3715, 128]]
23	[[3717, 128], [3716, 126], [3718, 125], [3718, 123], [3719, 122], [3718, 119], [3719, 118], [3720, 119], [3724, 119], [3725, 121], [3725, 125], [3722, 127], [3721, 126], [3718, 126], [3717, 128]]
24	[[3687, 140], [3684, 141], [3681, 144], [3681, 145], [3679, 146], [3678, 145], [3677, 146], [3666, 146], [3664, 144], [3661, 143], [3659, 141], [3661, 139], [3659, 138], [3659, 135], [3660, 134], [3660, 124], [3668, 123], [3669, 124], [3680, 124], [3681, 125], [3685, 124], [3686, 126], [3686, 129], [3685, 130], [3686, 132], [3685, 133], [3687, 137], [3687, 140]]
25	[[1852, 182], [1846, 183], [1845, 182], [1827, 182], [1828, 181], [1828, 177], [1827, 176], [1827, 173], [1828, 171], [1826, 171], [1826, 157], [1827, 156], [1827, 153], [1826, 152], [1827, 151], [1827, 144], [1831, 141], [1832, 142], [1833, 141], [1834, 142], [1846, 142], [1847, 143], [1854, 143], [1856, 147], [1855, 148], [1857, 148], [1858, 151], [1857, 152], [1858, 153], [1858, 156], [1857, 157], [1857, 160], [1858, 162], [1856, 164], [1858, 165], [1858, 173], [1857, 174], [1856, 179], [1852, 182]]
26	[[3657, 154], [3655, 152], [3656, 151], [3655, 150], [3661, 145], [3661, 150], [3660, 151], [3660, 153], [3657, 154]]
27	[[5483, 155], [5482, 153], [5481, 152], [5481, 150], [5483, 148], [5484, 148], [5484, 149], [5483, 150], [5483, 155]]
28	[[5494, 170], [5493, 170], [5492, 169], [5485, 169], [5484, 162], [5489, 161], [5490, 162], [5491, 161], [5493, 161], [5494, 163], [5494, 170]]
29	[[6182, 185], [6173, 185], [6171, 184], [6172, 181], [6175, 181], [6177, 180], [6172, 179], [6171, 177], [6170, 178], [6167, 178], [6167, 173], [6166, 172], [6166, 170], [6167, 168], [6169, 167], [6168, 166], [6168, 165], [6174, 162], [6182, 161], [6186, 163], [6186, 165], [6188, 165], [6188, 167], [6192, 171], [6193, 173], [6193, 176], [6192, 178], [6184, 180], [6182, 182], [6182, 185]]
30	[[6581, 219], [6580, 218], [6577, 218], [6576, 217], [6572, 216], [6563, 208], [6561, 204], [6561, 202], [6559, 199], [6559, 192], [6561, 191], [6560, 187], [6562, 183], [6572, 173], [6578, 170], [6580, 170], [6584, 168], [6588, 168], [6589, 167], [6592, 167], [6593, 168], [6597, 168], [6598, 169], [6600, 169], [6602, 170], [6607, 176], [6609, 180], [6609, 183], [6610, 184], [6610, 190], [6607, 191], [6610, 191], [6611, 194], [6611, 198], [6610, 199], [6610, 206], [6607, 210], [6606, 210], [6603, 213], [6599, 215], [6597, 215], [6594, 217], [6589, 217], [6588, 218], [6583, 218], [6581, 219]]
31	[[6170, 181], [6165, 181], [6165, 180], [6167, 179], [6165, 178], [6165, 176], [6163, 172], [6166, 168], [6167, 169], [6165, 171], [6165, 172], [6167, 173], [6167, 178], [6170, 179], [6170, 181]]
32	[[5494, 181], [5493, 180], [5484, 180], [5484, 175], [5484, 174], [5483, 176], [5482, 173], [5484, 173], [5485, 169], [5492, 169], [5494, 171], [5494, 181]]
33	[[5898, 216], [5896, 216], [5895, 217], [5884, 217], [5881, 215], [5879, 215], [5874, 211], [5871, 205], [5871, 198], [5872, 197], [5869, 197], [5870, 190], [5871, 189], [5872, 184], [5876, 176], [5881, 172], [5884, 172], [5885, 173], [5896, 173], [5898, 174], [5900, 177], [5900, 178], [5906, 183], [5907, 185], [5906, 186], [5908, 187], [5907, 191], [5910, 195], [5910, 200], [5909, 201], [5909, 204], [5905, 211], [5903, 213], [5902, 213], [5898, 216]]
34	[[2050, 199], [2049, 200], [2045, 200], [2044, 201], [2043, 200], [2042, 201], [2035, 201], [2034, 202], [2030, 202], [2029, 203], [2020, 203], [2019, 202], [2012, 202], [2008, 200], [2005, 196], [2005, 194], [2007, 191], [2008, 192], [2009, 191], [2013, 191], [2009, 190], [2009, 188], [2007, 185], [2008, 184], [2008, 182], [2010, 180], [2012, 181], [2013, 179], [2014, 180], [2018, 178], [2026, 178], [2027, 177], [2045, 177], [2046, 178], [2048, 178], [2051, 183], [2051, 188], [2050, 189], [2050, 193], [2051, 194], [2051, 196], [2049, 197], [2050, 199]]
