Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
1	5504.161115069087	25.336070684062303	['Gnb4', 'Id2']	[0.009141221095649394, 0.002068623943757131]	['class_28', 'class_113', 'Zero']	[0.001182120488401298, 0.0035230742421996585, 0.9952875088075093]
2	7510.756572974953	34.66366689821016	['Nek7']	[0.0012402065407325297]	['class_28', 'class_113', 'Zero']	[0.005019799147519596, 0.010104835336713365, 0.9847233731063532]
3	5512.719071282461	39.37153592171414	['Id2']	[0.0012785216796629795]	['class_28', 'class_113', 'Zero']	[0.014246785521163883, 0.020050313400607693, 0.9644404305003473]
4	6582.1157751568	72.32624893386196	['Aldoc', 'Car4', 'Cdh13', 'Cpne2', 'Cryab', 'Cxcl14', 'Gad1', 'Gnb4', 'Plp1', 'Prss23', 'Sema3c', 'Sema5a', 'Serpine2', 'Slc6a1', 'Zbtb20']	[1.8992611559044652, 0.9649232264051661, 0.7765481629257023, 0.9954132047636318, 0.0981726825464572, 2.9881049448757517, 0.014343788528942364, 0.9999598273141758, 1.956748689390746, 0.9956343570877582, 0.9995630157060296, 0.003938146310783106, 2.9991132504994544, 1.1489234033959659, 0.9999810927441494]	['class_9', 'class_103']	[0.9878720713817699, 0.011964746547010194]
5	5513.032084082064	39.985206065935365	[]	[]	['class_28', 'class_113', 'Zero']	[0.008980442939210274, 0.014940435044611183, 0.9755805965926523]
6	5509.378969409723	51.436426676818876	[]	[]	['class_28', 'class_113', 'Zero']	[0.01687320252127029, 0.022246994884795687, 0.9591064814177803]
7	5495.70946183355	79.54135894989629	[]	[]	['class_28', 'class_113', 'Zero']	[0.0015284275990017093, 0.004306541577882505, 0.9941524277289301]
8	5747.2874009318975	69.55021080703727	['Aldoc', 'Car4', 'Cxcl14', 'Ntng1', 'Prss23', 'Rgs12', 'Rgs4', 'Serpine2', 'Serpini1', 'Tshz2']	[2.8985514934573895, 2.997782160844051, 3.0678686182334864, 0.8573759732551796, 0.9988582541119556, 0.9999413917793785, 0.9999864558048186, 0.9999869202989422, 0.0012669950989025978, 0.06387326351879928]	['class_9', 'class_103']	[0.9983709434535059, 0.0016236475139346806]
9	6418.520680980465	73.59293237982226	['Nrn1', 'Serpine2']	[0.0017217134112655836, 0.036838199385722484]	['class_113', 'Zero']	[0.0013743316854161107, 0.9982929181803379]
10	5513.388227353994	58.202246329028526	['Cox6a2', 'Enpp2', 'Pcp4', 'Pthlh', 'Serpine2', 'Sst']	[0.032586211679497754, 0.9996642972815962, 0.9996063275100923, 1.9996558883272253, 0.11076650502008548, 0.9997490714979648]	['class_9', 'class_28', 'class_85', 'class_103', 'class_113', 'Zero']	[0.001202325657795244, 0.021748541157386312, 0.034207284720357854, 0.0018983136224171842, 0.9378429398236211, 0.0021728251904772765]
11	5714.7780749913245	57.642497763459616	[]	[]	['class_28', 'class_113', 'Zero']	[0.0017889829411229796, 0.0048431525394857745, 0.9933501539702997]
12	6296.831197717908	89.35940234944498	['Cdh13', 'Cox6a2', 'Cpne2', 'Crh', 'Cryab', 'Enpp2', 'Gabrd', 'Grik1', 'Grin3a', 'Id2', 'Kctd12', 'Nrn1', 'Pcp4', 'Plp1', 'Plpp4', 'Rab3c', 'Rprm', 'Sema5a', 'Serpine2', 'Slc6a1', 'Tshz2', 'Zbtb20']	[0.9984815235277663, 0.9960822586365917, 0.9998097093066577, 0.9975506894304997, 2.9762622677169217, 1.3896557755311258, 0.9996818582823405, 0.9933117021120151, 0.9997957043355713, 0.9991948883248186, 0.9997333824767216, 0.9992413818202308, 1.0000183001745908, 0.9998304505545903, 1.9994574248671397, 0.026711279898474275, 0.9996051631601252, 0.9976439019151879, 1.000158389104492, 3.751780289044549, 1.9905642682837998, 1.0217015911495455]	['class_100']	[0.999998546927477]
