Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
1	5720.177033492823	54.1161995898838	['Cadps2', 'Car4', 'Cck', 'Cox6a2', 'Cpne7', 'Cryab', 'Cxcl14', 'Enpp2', 'Gabrd', 'Hsd11b1', 'Id2', 'Nek7', 'Nptx2', 'Npy2r', 'Nr4a2', 'Nrn1', 'Ntng1', 'Pcp4', 'Pde1a', 'Plp1', 'Prkca', 'Rgs10', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Tac2', 'Tnfaip6', 'Tshz2', 'Zbtb20']	[0.9233481476391787, 0.0014884471428546306, 0.07483808509377277, 0.42734520909948953, 0.754162974182469, 8.944995056003958, 5.052815600019132, 4.851684807223654, 0.0021353513118997423, 0.012461724387315559, 0.031103011887797308, 0.9696877850419939, 0.7251940160724433, 0.967895279462635, 0.5905456651466945, 0.967491669199695, 0.20610063371346757, 0.739131837203566, 0.9508860911175824, 13.83738620685623, 0.8775027793144455, 0.9646688628806109, 0.0069231208302399354, 0.951640461508647, 3.1443122859689896, 1.7439287377002388, 0.0015989782751001393, 0.009925402195591126, 0.2592396481434062, 0.6155232546005158]	['class_80', 'class_99']	[0.988688442960725, 0.011218563191005542]
2	5851.251136363637	56.101704545454545	['Aldoc', 'Amigo2', 'Arc', 'Cox6a2', 'Cpne7', 'Cryab', 'Cxcl14', 'Enpp2', 'Fos', 'Gabrd', 'Nrn1', 'Ntng1', 'Pcp4', 'Pde1a', 'Plp1', 'Pvalb', 'Rgs4', 'Serpine2', 'Slc6a1', 'Tnfaip6', 'Tshz2', 'Wfs1', 'Zbtb20']	[2.238126920760223, 0.9554242579040071, 0.9909797972426482, 0.5611360736157173, 0.1744313673069578, 14.081013018853566, 3.987798438158075, 7.781105478015794, 0.8817473442727979, 0.8010106917992535, 0.11040283664629563, 0.0020310973499343757, 2.762137654067889, 0.009315097254414529, 9.994130023105985, 0.009175802906915005, 0.9913340369887319, 2.76029814121934, 4.264692858670046, 0.994886664689069, 0.27106796804170147, 0.9763608282583515, 0.42043364042465636]	['class_80']	[0.9999933589009515]
3	6424.806451612903	59.79586693548387	['Aldoc', 'Amigo2', 'Cadps2', 'Car4', 'Cck', 'Cdh13', 'Chrm2', 'Col25a1', 'Cox6a2', 'Cpne7', 'Cryab', 'Crym', 'Cxcl14', 'Ddit4l', 'Enpp2', 'Gabrd', 'Grik1', 'Grin3a', 'Hs3st2', 'Id2', 'Kit', 'Lgals1', 'Nek7', 'Nptx2', 'Nr4a2', 'Nrn1', 'Ntng1', 'Pcp4', 'Pde1a', 'Plp1', 'Pnoc', 'Pvalb', 'Rgs4', 'Scgn', 'Sema5a', 'Serpine2', 'Slc6a1', 'Tac2', 'Thsd7a', 'Tnfaip6', 'Tpbg', 'Tshz2', 'Vip']	[0.10589486412100213, 0.8775900116437712, 3.0777012485102158, 0.16480559909514023, 2.642055673035855, 0.001385098623116467, 0.5976606794245892, 0.23199998369201222, 7.686386148077049, 10.816988737140994, 0.007284829135065849, 0.0011361513944622061, 0.900508577947887, 0.003898144183774805, 0.0036164273516021187, 6.663250963181927, 0.28858809056296536, 0.9725361748398725, 0.20466464501666268, 1.913052627583775, 0.9729487533374593, 0.18249843902231203, 1.9716095373374019, 1.0026967695779025, 0.007349636777864111, 8.060913661700077, 14.285236090371948, 12.434004520490777, 0.020207334587575027, 0.8242084015546524, 5.662415261588215, 0.6642494753257002, 28.79934853372488, 0.9894716197925805, 8.425438953028918, 4.410640962622402, 0.25911091660041474, 2.6066657894251586, 0.21512629943674927, 0.01192871373706072, 0.9114472887430867, 0.8075929906681633, 0.49895142823735156]	['class_94']	[0.9994053613711329]
4	6922.205091937765	51.7991513437058	['Aldoc', 'Cadps2', 'Calb2', 'Cdh9', 'Cox6a2', 'Cpne2', 'Cpne7', 'Cryab', 'Cxcl14', 'Gabrd', 'Gabrg1', 'Id2', 'Kctd12', 'Nrn1', 'Ntng1', 'Pcp4', 'Rgs4', 'Serpine2', 'Slc6a1', 'Snca', 'Tpbg', 'Tshz2']	[0.1691495228029535, 0.5379112514769688, 0.05413993351682789, 0.7411532930724545, 0.27951333226835007, 1.310685995054409, 1.423460436606064, 1.3306451213747654, 2.206858955634296, 0.797577237095697, 0.9103060343415481, 0.005959348838950434, 0.001398729011773284, 6.292302730546076, 2.4170437502398014, 2.1565314862660454, 6.37263877269803, 4.8376712460418005, 0.6366607454620167, 0.8889402334855171, 0.2181070287947314, 0.023711245617304002]	['class_72', 'class_75']	[0.005310898449706432, 0.9944838655928412]
5	7132.698400412797	68.10036119711042	['Aldoc', 'Amigo2', 'Cadps2', 'Chrm2', 'Cnr1', 'Col25a1', 'Cpne2', 'Crispld2', 'Cryab', 'Cxcl14', 'Ddit4l', 'Enpp2', 'Fos', 'Grin3a', 'Hsd11b1', 'Id2', 'Lypd1', 'Nek7', 'Neurod6', 'Nos1', 'Nrn1', 'Parm1', 'Pde1a', 'Plp1', 'Pnoc', 'Reln', 'Serpine2', 'Slc6a1', 'Tac2', 'Tnfaip6', 'Tnfaip8l3', 'Zbtb20']	[0.13405080835465868, 0.6258960567310841, 1.6035859990151318, 0.9260895953790379, 0.003801299775484035, 0.9846532213582376, 0.9915692601248921, 0.10268014100983483, 6.036939166124094, 0.40340666579787615, 0.982805384837833, 3.5891211719051155, 0.0018844152598137371, 1.9437437363870598, 0.15561658909334586, 8.713816357363882, 0.2521654965368856, 0.970568184009015, 2.551470195485508, 0.9712948035235534, 0.9911145960956849, 0.007149993946352911, 0.005786185420045384, 1.9571841084956545, 0.7174721799195415, 1.8498128987251765, 5.637062998611106, 2.9697634885117887, 0.1707105805018555, 1.5794800390407633, 0.882793091647976, 0.5234569053754128]	['class_100']	[0.9997377611170758]
6	7498.175724637681	54.8106884057971	['Aldoc', 'Arc', 'Cadps2', 'Cck', 'Cnr1', 'Col25a1', 'Cox6a2', 'Cplx2', 'Cpne5', 'Cpne7', 'Cryab', 'Enpp2', 'Fezf2', 'Gad1', 'Grik1', 'Htr3a', 'Id2', 'Kcnip1', 'Kit', 'Lamp5', 'Lypd1', 'Mia', 'Nek7', 'Nos1', 'Nptx2', 'Npy2r', 'Nrn1', 'Ntng1', 'Pcp4', 'Plp1', 'Pnoc', 'Prkca', 'Rasgrf2', 'Rgs10', 'Sema3c', 'Sema5a', 'Serpine2', 'Slc17a8', 'Slc6a1', 'Sncg', 'Th', 'Tnfaip8l3', 'Vip', 'Yjefn3']	[0.011561688162914257, 0.954889005369421, 0.996209119128396, 10.833490742314012, 17.039535804271452, 8.31488716473382, 0.9816446351879354, 3.970952935945033, 1.8736797467400024, 2.9714566307603185, 1.6787388361314246, 1.8807617710011366, 0.8364613250819776, 4.4342668208449805, 0.9421729795153818, 12.151612855470123, 5.398021572212167, 2.788163187501689, 1.905547680007369, 0.9953865298625543, 0.9899971253502033, 1.7372676370001248, 0.5691873793903867, 1.8518321700545957, 0.9225771289197348, 1.9430065080055787, 0.8317512349058773, 2.9820892779289485, 1.6794591386058833, 0.9340038494936274, 1.1169615876889343, 0.9605888163924492, 0.3917879051481761, 1.602620547287062, 1.7311788885109252, 3.954650504303931, 0.15806268551597635, 0.9516342423868199, 7.295679388795129, 1.7320337363358491, 0.7596751778985138, 2.288483493977594, 0.9814774952510842, 0.07888748637792649]	['class_64']	[1.0]
7	6873.409398242055	70.31000676132523	['Aldoc', 'Col25a1', 'Cox6a2', 'Cpne2', 'Cpne7', 'Cryab', 'Cxcl14', 'Gabrd', 'Gabrg1', 'Id2', 'Kctd12', 'Nek7', 'Nrn1', 'Ntng1', 'Pcp4', 'Prkca', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1', 'Sst', 'Tshz2', 'Wfs1']	[2.6870615579704253, 0.47574130461441033, 0.09375735813853825, 0.9913119107057485, 0.028494150022493295, 0.5105164478743451, 0.5242512375423377, 0.006690980775104731, 0.004699628961550386, 0.03346207315875283, 0.0037496801231080277, 0.07127700571780575, 1.557122912497695, 1.511465345013651, 4.680272722834102, 0.9694401140860417, 1.4052549278412958, 0.0019485037431177907, 1.3121421890093656, 2.7410214905250947, 0.670937920016286, 0.014681237027807336, 0.05658589763442172]	['class_49']	[0.9999788592367727]
8	7336.07813570939	81.62919808087732	['Aldoc', 'Cck', 'Cnr1', 'Cox6a2', 'Cplx2', 'Cpne2', 'Cryab', 'Cxcl14', 'Ddit4l', 'Enpp2', 'Gabrg1', 'Gnb4', 'Grin3a', 'Hs3st2', 'Id2', 'Lhx6', 'Lypd1', 'Lypd6', 'Neurod6', 'Nos1', 'Pcp4', 'Plp1', 'Pthlh', 'Pvalb', 'Reln', 'Rgs10', 'Serpine2', 'Slc6a1', 'Snca', 'Tnfaip8l3', 'Tshz2', 'Wfs1', 'Zbtb20']	[0.008161750957918714, 0.01858513196233265, 0.24051765111168957, 1.9778128849594507, 0.7282977577710622, 2.9846130884041457, 0.9795859088450475, 5.451232559919709, 2.9084563836157917, 3.8219470198946537, 0.9364092216214135, 1.9751093016109804, 0.896408344477624, 0.43987011279328675, 2.9990997481969788, 1.446257997235711, 0.9738776104672878, 0.9584868838767872, 0.905395940519829, 0.92840735784147, 1.9666180927875632, 0.06854856090728804, 0.8793066745527762, 0.9465722221506898, 0.02889665008903752, 1.9710903359140735, 2.0050044242867884, 0.7686731226212141, 0.9649255105671101, 0.0032946928928905606, 1.9376197113759805, 0.1401356237324416, 2.025250268481521]	['class_100']	[0.9999999876850304]
9	5723.266191325015	90.81402257872845	['Aldoc', 'Cadps2', 'Car4', 'Cck', 'Cnr1', 'Cox6a2', 'Cpne7', 'Cryab', 'Cxcl14', 'Ddit4l', 'Enpp2', 'Gabrd', 'Grik1', 'Hsd11b1', 'Id2', 'Kctd12', 'Mybpc1', 'Nek7', 'Nptx2', 'Nrn1', 'Ntng1', 'Pcp4', 'Pde1a', 'Plp1', 'Rgs10', 'Rgs4', 'Sema5a', 'Serpine2', 'Serpini1', 'Slc6a1', 'Tac2', 'Tpbg', 'Tshz2', 'Zbtb20']	[0.0012161482073281915, 0.0912487779208315, 1.987168658410413, 0.7088500492168346, 0.8487251211527462, 3.2744467155936703, 1.2059285556912231, 2.3980512901894446, 0.2293583284456004, 0.025006558221679673, 1.1264406767741957, 3.9580972102206315, 0.6676018710435835, 0.07234154742062854, 2.1437278156420696, 0.02908662024841818, 0.04962711857304217, 0.0032949975350863043, 0.19450903179357187, 3.6637113947985687, 14.520449615014078, 4.554356510165444, 0.004744987749986216, 3.6698250936404837, 0.006497629498466768, 11.748336851676925, 1.0220659734092263, 2.6770329286508816, 0.45060163797153163, 0.9735556139784965, 0.9456538562699616, 0.0023457226690591095, 1.9816179715768274, 0.009402325462604322]	['class_72', 'class_75']	[0.15412570454959995, 0.8453836640419375]
10	6770.828740991946	85.56973293768546	['Aldoc', 'Amigo2', 'Cox6a2', 'Cryab', 'Cxcl14', 'Enpp2', 'Grin3a', 'Hsd11b1', 'Id2', 'Nek7', 'Nrn1', 'Pcp4', 'Plp1', 'Rgs4', 'Sema5a', 'Serpine2', 'Slc6a1']	[1.7285963412610277, 0.9631636968546003, 0.03558478269715225, 2.780485829780926, 5.660895955660746, 0.044968399803958614, 0.014406745262020793, 2.7503232903625014, 5.5503621959236416, 0.0010196589846810556, 0.2244715357389574, 1.32322110057484, 2.772747201757707, 0.4383726027933534, 0.221228855967586, 1.7543933278908719, 3.9255531073032066]	['class_30', 'class_49']	[0.02134450005852042, 0.9783777219629421]
